Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,DOM_HOMES
2022-01-01,2,Eixample,5,el Fort Pienc,20,2004,47,4
2022-01-01,2,Eixample,5,el Fort Pienc,20,2004,21,5
2022-01-01,2,Eixample,5,el Fort Pienc,20,2005,227,1
2022-01-01,2,Eixample,5,el Fort Pienc,20,2005,397,2
2022-01-01,2,Eixample,5,el Fort Pienc,20,2005,175,3
2022-01-01,2,Eixample,5,el Fort Pienc,20,2005,48,4
2022-01-01,2,Eixample,5,el Fort Pienc,20,2005,11,5
2022-01-01,2,Eixample,5,el Fort Pienc,20,2006,180,1
2022-01-01,2,Eixample,5,el Fort Pienc,20,2006,328,2
2022-01-01,2,Eixample,5,el Fort Pienc,20,2006,123,3
2022-01-01,2,Eixample,5,el Fort Pienc,20,2006,47,4
2022-01-01,2,Eixample,5,el Fort Pienc,20,2006,14,5
2022-01-01,2,Eixample,5,el Fort Pienc,20,2007,136,1
2022-01-01,2,Eixample,5,el Fort Pienc,20,2007,251,2
2022-01-01,2,Eixample,5,el Fort Pienc,20,2007,88,3
2022-01-01,2,Eixample,5,el Fort Pienc,20,2007,27,4
2022-01-01,2,Eixample,5,el Fort Pienc,20,2007,9,5
2022-01-01,2,Eixample,5,el Fort Pienc,20,2008,175,1
2022-01-01,2,Eixample,5,el Fort Pienc,20,2008,337,2
2022-01-01,2,Eixample,5,el Fort Pienc,20,2008,144,3
2022-01-01,2,Eixample,5,el Fort Pienc,20,2008,63,4
2022-01-01,2,Eixample,5,el Fort Pienc,20,2008,21,5
2022-01-01,2,Eixample,5,el Fort Pienc,20,2009,166,1
2022-01-01,2,Eixample,5,el Fort Pienc,20,2009,342,2
2022-01-01,2,Eixample,5,el Fort Pienc,20,2009,142,3
2022-01-01,2,Eixample,5,el Fort Pienc,20,2009,45,4
2022-01-01,2,Eixample,5,el Fort Pienc,20,2009,17,5
2022-01-01,2,Eixample,5,el Fort Pienc,21,2010,102,1
2022-01-01,2,Eixample,5,el Fort Pienc,21,2010,223,2
2022-01-01,2,Eixample,5,el Fort Pienc,21,2010,98,3
2022-01-01,2,Eixample,5,el Fort Pienc,21,2010,22,4
2022-01-01,2,Eixample,5,el Fort Pienc,21,2010,18,5
2022-01-01,2,Eixample,5,el Fort Pienc,21,2011,106,1
2022-01-01,2,Eixample,5,el Fort Pienc,21,2011,238,2
2022-01-01,2,Eixample,5,el Fort Pienc,21,2011,91,3
2022-01-01,2,Eixample,5,el Fort Pienc,21,2011,26,4
2022-01-01,2,Eixample,5,el Fort Pienc,21,2011,7,5
2022-01-01,2,Eixample,5,el Fort Pienc,21,2012,134,1
2022-01-01,2,Eixample,5,el Fort Pienc,21,2012,277,2
2022-01-01,2,Eixample,5,el Fort Pienc,21,2012,115,3
2022-01-01,2,Eixample,5,el Fort Pienc,21,2012,57,4
2022-01-01,2,Eixample,5,el Fort Pienc,21,2012,18,5
2022-01-01,2,Eixample,5,el Fort Pienc,21,2013,150,1
2022-01-01,2,Eixample,5,el Fort Pienc,21,2013,218,2
2022-01-01,2,Eixample,5,el Fort Pienc,21,2013,103,3
2022-01-01,2,Eixample,5,el Fort Pienc,21,2013,26,4
2022-01-01,2,Eixample,5,el Fort Pienc,21,2013,10,5
2022-01-01,2,Eixample,5,el Fort Pienc,22,2014,153,1
2022-01-01,2,Eixample,5,el Fort Pienc,22,2014,264,2
2022-01-01,2,Eixample,5,el Fort Pienc,22,2014,106,3
2022-01-01,2,Eixample,5,el Fort Pienc,22,2014,40,4
2022-01-01,2,Eixample,5,el Fort Pienc,22,2014,15,5
2022-01-01,2,Eixample,5,el Fort Pienc,22,2015,164,1
2022-01-01,2,Eixample,5,el Fort Pienc,22,2015,294,2
2022-01-01,2,Eixample,5,el Fort Pienc,22,2015,111,3
2022-01-01,2,Eixample,5,el Fort Pienc,22,2015,52,4
2022-01-01,2,Eixample,5,el Fort Pienc,22,2015,20,5
2022-01-01,2,Eixample,5,el Fort Pienc,22,2016,204,1
2022-01-01,2,Eixample,5,el Fort Pienc,22,2016,389,2
2022-01-01,2,Eixample,5,el Fort Pienc,22,2016,143,3
2022-01-01,2,Eixample,5,el Fort Pienc,22,2016,36,4
2022-01-01,2,Eixample,5,el Fort Pienc,22,2016,13,5
2022-01-01,2,Eixample,5,el Fort Pienc,22,2017,210,1
2022-01-01,2,Eixample,5,el Fort Pienc,22,2017,342,2
